feature_id,feature_name,importance,feature_category
6048565,STRING:wow64disablewow64fsredirection,0.00023136863293598146,STRING
5016236,STRING:imagelist_destroy,0.0002313173697095643,STRING
5817603,STRING:the ordinal %u could not be located in the dynamic link library %s,0.00023108758916359385,STRING
2625487,DIRECTORY:CREATED:c:\users\administrator\appdata,0.00023074042492116423,DIRECTORY
5727381,STRING:shellexecutea,0.0002297268166412524,STRING
4862138,STRING:getshortpathnamea,0.0002246192848143763,STRING
5030108,STRING:isdbcsleadbyte,0.00022441286208710855,STRING
4530610,STRING:computehash,0.0002220197671990611,STRING
1927580,FILE:OPENED:c:\program files (x86),0.00021732374257111382,FILE
1668009,FILE:EXISTS:c:\users,0.00021378851823894524,FILE
135,API:GetFileInformationByHandle,0.00021014860948584066,API
64,API:OpenServiceW,0.00020850651686868125,API
2118086,FILE:OPENED:c:\windows\system32,0.00020725179150060406,FILE
5025746,STRING:iphlpapi.dll,0.00020593622768491843,STRING
118,API:GetFileVersionInfoW,0.00020516779800789438,API
5641703,STRING:regdeletekeyexw,0.0002047898560893543,STRING
5645701,STRING:return false;,0.000204707460374462,STRING
6061534,STRING:wwwpws,0.0002044082472275013,STRING
32,API:CreateActCtxW,0.00019933020933357557,API
4540446,STRING:createencryptor,0.0001943149448450379,STRING
5832017,STRING:toarray,0.00019363957632091794,STRING
90,API:OpenSCManagerW,0.0001902448869967285,API
4296534,STRING:`.itext,0.00019021057540142178,STRING
40714,REG:OPENED:HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Comdlg32,0.00018988919732036583,REG
4540854,STRING:createwindowexa,0.00018847036785494213,STRING
248012,REG:READ:HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\AllowFileCLSIDJunctions,0.00018735747252473833,REG
5670833,STRING:runtime error     at 00000000,0.00018171365526047315,STRING
229503,REG:READ:HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\SQMClient\Windows\DisabledSessions\GlobalSession,0.0001806717807646331,REG
147746,REG:READ:HKEY_CURRENT_USER\Software\Microsoft\Command Processor\DelayedExpansion,0.0001794303165715655,REG
225,API:RegDeleteKeyW,0.00017752718666278147,API
4499918,STRING:callwindowproca,0.00017651315340666142,STRING
5474224,STRING:p.rsrc,0.00017211097825429588,STRING
6422071,DROP:EXTENSION:bmp,0.00017183896523804786,DROP
6413093,SYSTEM:DLL_LOADED:msls31.dll,0.0001703085818771791,SYSTEM
4793662,STRING:findfirstfileexw,0.00016729884108980614,STRING
6468080,SIGNATURE:antisandbox_foregroundwindows,0.00016606576492823045,SIGNATURE
6061831,STRING:wwwwwwww,0.0001619948429204863,STRING
4862251,STRING:getsysteminfo,0.0001615224697419368,STRING
6057974,STRING:wuser32.dll,0.00015963078893765575,STRING
5444854,STRING:openmutexw,0.00015808199336991458,STRING
2120452,FILE:OPENED:c:\windows\system32\en-us\netmsg.dll.mui,0.00015463937267626103,FILE
131400,REG:OPENED:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Winsock,0.00015321272304596241,REG
5590655,STRING:qqswj0j@,0.00015222130280450789,STRING
2844552,"STRING:        <supportedos id=""{8e0f7a12-bfb3-4fe8-b9a5-48fd50a15a9a}""/>",0.0001517313161928732,STRING
5016235,STRING:imagelist_create,0.00015134980089487633,STRING
5031897,STRING:iswindowenabled,0.00015127359469068518,STRING
66,API:RegCreateKeyExA,0.0001511822976952172,API
131394,REG:OPENED:HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip6\Parameters\Winsock,0.00014947425080867862,REG
153169,REG:READ:HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\UseDoubleClickTimer,0.00014937597604935385,REG
5288318,STRING:memmove,0.00014773056048991606,STRING
5384718,STRING:nullsoftinst,0.00014602948613285404,STRING
2625467,DIRECTORY:CREATED:c:\users,0.00014434204930645656,DIRECTORY
4670103,STRING:eabort,0.0001439377397234059,STRING
157368,REG:READ:HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoNetConnectDisconnect,0.00014102023537798216,REG
150,API:GetComputerNameA,0.00014095073341168347,API
4038443,STRING:>ldict,0.00014059216841128864,STRING
5518292,STRING:pppppws,0.00013867901698430215,STRING
2633869,DIRECTORY:CREATED:c:\users\administrator\appdata\roaming,0.00013813303224227225,DIRECTORY
4861226,STRING:getfullpathnamea,0.00013764338575765584,STRING
113637,REG:OPENED:HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Winsock\Setup Migration\Providers,0.00013727837476321732,REG
4738467,STRING:f9:t!v,0.00013479265910902626,STRING
157381,REG:READ:HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoRun,0.0001327685014776582,REG
6413138,SYSTEM:DLL_LOADED:nsi.dll,0.00013168945193568814,SYSTEM
6457244,"DROP:TYPE:pe32_executable_(dll)_(gui)_intel_80386_(stripped_to_external_pdb),_for_ms_windows",0.00013125432741699532,DROP
6468147,SIGNATURE:exe_appdata,0.0001291067179003908,SIGNATURE
40676,REG:OPENED:HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Internet Settings\Wpad\{68AD045D-A60B-4E2E-BC0E-3B43DE6B671F},0.00012734715641615202,REG
2129256,FILE:READ:\\?\pipe\wkssvc,0.00012606171938952805,FILE
4626980,STRING:drawtexta,0.00012468445481690635,STRING
104300,REG:OPENED:HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\LanguagePack\SurrogateFallback\MS Sans Serif,0.00012316740229257323,REG
5517021,STRING:pp9e u:ppvwp,0.000122748996743337,STRING
2722838,DIRECTORY:ENUMERATED:c:\windows\system32\*.*,0.00011941285200493937,DIRECTORY
2848321,STRING:        },0.00011765318303235873,STRING
5437259,STRING:oleinitialize,0.00011451164866015356,STRING
5817651,STRING:the procedure entry point %s could not be located in the dynamic link library %s,0.00011301479199191472,STRING
3751305,STRING:8ldict,0.00011118330678193754,STRING
157348,REG:READ:HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoClose,0.00010871885291568189,REG
157376,REG:READ:HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoRecentDocsHistory,0.00010714733174202668,REG
2120431,FILE:OPENED:c:\windows\system32\en-us\imageres.dll.mui,0.00010549684012342509,FILE
4348636,STRING:a_a^a]a\_,0.00010443764577094144,STRING
4860736,STRING:getcomputernamew,0.00010178906847676205,STRING
5837666,STRING:trackpopupmenu,0.00010078918534884542,STRING
3357783,STRING:.?avexception@std@@,9.920406819952148e-05,STRING
6026544,STRING:watauavawh,9.878366737227069e-05,STRING
3375604,STRING:.rdata$r,9.780253353366728e-05,STRING
113636,REG:OPENED:HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Winsock\Parameters,9.751269139642806e-05,REG
6440376,DROP:EXTENSION:wav,9.710480268231064e-05,DROP
4541826,STRING:cryptdecrypt,8.911310905432605e-05,STRING
417548,REG:READ:HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Control\Nls\CodePage\950,8.769820480885713e-05,REG
110220,REG:OPENED:HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\FolderDescriptions\{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\PropertyBag,8.573746682270992e-05,REG
112411,REG:OPENED:HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\services\Winsock\Setup Migration\Providers\Tcpip,8.422365794700766e-05,REG
5722220,STRING:setservicestatus,8.005319410287825e-05,STRING
5231733,STRING:loader error,7.665704851806585e-05,STRING
180,API:SHGetSpecialFolderLocation,7.544025806938785e-05,API
3783330,STRING:9c`u99c\t4,7.512623398428597e-05,STRING
2195841,FILE:WRITTEN:\\?\pipe\wkssvc,7.481513861568417e-05,FILE
6413344,SYSTEM:DLL_LOADED:usp10.dll,7.462819249349112e-05,SYSTEM
3891164,STRING:</form>,7.294970331605616e-05,STRING
157202,REG:READ:HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Internet Settings\Wpad\WpadOverride,7.084780673027116e-05,REG
417084,REG:READ:HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Control\CMF\Config\SYSTEM,6.857066872446403e-05,REG
3364661,STRING:.data$r,6.804628557082791e-05,STRING
4542077,STRING:cryptstringtobinarya,6.34120877332478e-05,STRING
6413237,SYSTEM:DLL_LOADED:riched20,6.150083023616656e-05,SYSTEM
4541838,STRING:cryptencrypt,5.63388941769525e-05,STRING
6413491,SYSTEM:GUID:{000214f9-0000-0000-c000-000000000046},5.433712566543293e-05,SYSTEM
6456061,"DROP:TYPE:pc_bitmap,_windows_3.x_format,_164_x_314_x_24",5.139843912181581e-05,DROP
1924020,FILE:OPENED:\\?\pipe\wkssvc,4.7072938247440935e-05,FILE
4793661,STRING:findfirstfileexa,4.1393409298174334e-05,STRING
6468152,SIGNATURE:has_authenticode,3.8135681355427143e-05,SIGNATURE
5640348,STRING:readprocessmemory,1.1153617890349805e-05,STRING
6457252,"DROP:TYPE:pe32_executable_(gui)_intel_80386,_for_ms_windows,_nullsoft_installer_self-extracting_archive",0.0,DROP
